match,teams,stage,city,kickoff_et,block,category,seat,row,buyer_usd,first_seen_et
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,103,Category 1,1,2,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,103,Category 1,2,2,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,103,Category 1,3,2,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,1,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,2,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,3,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,4,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,5,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,6,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,7,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,8,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,9,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,10,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,11,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,12,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,13,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,14,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,15,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,16,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,17,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,18,8,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,1,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,2,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,3,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,4,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,5,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,6,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,7,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,8,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,9,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,10,9,1420.25,2026-07-03 23:02:59
M93,Portugal v Spain,R16,Dallas,2026-07-06 15:00 ET,122,Category 1,11,9,1420.25,2026-07-03 23:02:59
